owner_link,owner,views,followers,average_rating,google_maps_locatoin_link,long,lat
168,https://opensooq.com/en/shops/مؤسسة-التقى-التجارية-60599565,مؤسسة التقى التجارية , 741.1K,69 ,2.9,,,
169,https://opensooq.com/en/shops/مجموعة-الأمعري-36215613,مجموعة الأمعري , 667.3K,199 ,3.4,,,
170,https://opensooq.com/en/mid/member-1693557716.7709667,ابو اشرف , 12.7K,0 ,3.5,,,
171,https://opensooq.com/en/mid/member-1717673454.6874657,A K , 1.4K,0 ,0,,,
172,https://opensooq.com/en/mid/Abu_Ghanem,شركة محمد غانم للإسكان , 309.5K,79 ,3.6,,,
173,https://opensooq.com/en/mid/member-5443053,شركة التفاضل للاسكان , 412.3K,58 ,3.8,,,
174,https://opensooq.com/en/mid/blueolive,Blue Olive / بلو اوليف الزيتونة الزرقاء , 4.5M,0 ,3.3,,,
175,https://opensooq.com/en/mid/member-152614650293,شركة درويش والطوس للإسكان, 261.7K,51 ,3.3,,,
176,https://opensooq.com/en/mid/member-148933591093,souf alaqari, 33.2K,0 ,4.3,,,
177,https://opensooq.com/en/mid/امجدكو88,,,,,,,
178,https://opensooq.com/en/mid/member-14761993478,dima , 48.3K,50 ,3,,,
179,https://opensooq.com/en/mid/member-157841059459,عبد الكريم العفيف, 2.3M,265 ,3.5,,,
180,https://opensooq.com/en/mid/member-16167706029,RS. Real Estate , 8.1K,4 ,0,,,
181,https://opensooq.com/en/mid/member-106889006180062066400,Ibrahem ALkahlout , 20.1K,3 ,5,,,
182,https://opensooq.com/en/mid/member-100001372597290,member-1717619712.2555958 , 65K,47 ,0,,,
183,https://opensooq.com/en/mid/member-149036991820,محمد غزاله , 393.9K,14 ,4,,,
184,https://opensooq.com/en/mid/member-153917783758,نعيم , 31.2K,0 ,0,,,
185,https://opensooq.com/en/mid/member-164664814012,Mohammad Shahin , 121.1K,11 ,4.3,,,
186,https://opensooq.com/en/mid/goldenlands,عامر المشيني, 967.2K,277 ,4.1,,,
187,https://opensooq.com/en/mid/member-917435265010083,أرض الأردن للتطوير العقاري, 865.5K,102 ,3.9,,,
188,https://opensooq.com/en/shops/مكتب-العقاري-ثائر-المعالي-2129732,مكتب العقاري ثائر المعالي , 3M,462 ,3.1,,,
189,https://opensooq.com/en/mid/member-1696009173963823,Mohammad Sameer, 243.3K,29 ,3.7,,,
